"gene_symbol","entrez_human","entrez_rat","entrez_mouse","Unirprot_Human","Uniprot_Rat","Uniprot_mouse","gene_name","synonym","DbTF","pubmed_id","evidence_type","AnimalTFDB","DBD","GOC","JASPAR","ORFeome","Ravasi_et_al","TcoF_DB","TFCat","TFClass_human","TFclass_mouse","Vaquerizas_et_al","pubmed_id_1","taxon","pubmed_id_2","taxon_1","pubmed_id_3","taxon_2","pubmed_id_4","taxon_3","pubmed_id_5","taxon_4","pubmed_id_6","taxon_5","GOC981_select_EC"
"SOX9","6662","140586","20682","P48436","F1LYL9","Q04887","SRY (sex determining region Y)-box 9","CMD1|CMPD1|SRA1","1","19322650","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","19322650","9606","0","0","0","0","0","0","0","0","0","0","981"
"FOXP1","27086","297480","108655","E9PFD3;Q548T7;Q8N2P0;Q8TEA2;Q9H334","Q498D1","D3Z6Q3;E2S038;H3BJ24;H3BLF2;P58462","forkhead box P1","12CC4|QRF1|HFKH1B","1","18640093","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","18640093","9606","0","0","0","0","0","0","0","0","0","0","981"
"INSM1","3642","366210","53626","Q01101","0","Q05BD7;Q63ZV0","insulinoma-associated 1","IA-1|IA1","1","18417529","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","18417529","9606","0","0","0","0","0","0","0","0","0","0","981"
"MAF","4094","54267","17132","O75444","P54844","P54843","v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)","CCA4|C-MAF","1","17897790","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","17897790","10090","0","0","0","0","0","0","0","0","0","0","981"
"MYOG","4656","29148","17928","P15173","O70425;P20428","P12979","myogenin (myogenic factor 4)","MYF4|BHLHC3|MYF-4","1","17531403","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","17531403","9606;10090","0","0","0","0","0","0","0","0","0","0","981"
"FOXA2","3170","25099","15376","B0ZTD4;Q9Y261","P32182","G5E8P5;P35583","forkhead box A2","HNF3B|TCF3B","1","16847327","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16847327","10090","0","0","0","0","0","0","0","0","0","0","981"
"NR3C1","2908","24413","14815","E5KQF5;E5KQF6;F1D8N4;P04150","P06536","E9PUR6;E9PYV1","nuclear receptor subfamily 3; group C; member 1 (glucocorticoid receptor)","GCCR|GCR|GR|GRL","1","16728402","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16728402","9606","0","0","0","0","0","0","0","0","0","0","981"
"KLF5","688","84410","12224","A2TJX0;Q13887;Q5T6X2","Q66HP1","Q9Z0Z7","Kruppel-like factor 5 (intestinal)","BTEB2|CKLF|IKLF","1","16595680","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16595680","9606","0","0","0","0","0","0","0","0","0","0","981"
"MYC","4609","24577","17869","P01106","P09416","B2RSN1;P01108","v-myc myelocytomatosis viral oncogene homolog (avian)","MRTL|BHLHE39|C-MYC","1","16287840","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16287840","9606","0","0","0","0","0","0","0","0","0","0","981"
"FOXH1","8928","300054","14106","O75593","G3V7Y6","O88621;Q0VEP8","forkhead box H1","FAST-1|FAST1","1","15982639","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15982639","10090","0","0","0","0","0","0","0","0","0","0","981"
"TLX1","3195","499361","21908","P31314","D4A270","Q9QX99","T-cell leukemia homeobox 1","HOX11|TCL3","1","15944191","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15944191","10090","0","0","0","0","0","0","0","0","0","0","981"
"SOX2","6657","499593","20674","P48431","D4A543","P48432;Q3V2B6;Q60I23","SRY (sex determining region Y)-box 2","ANOP3|MCOPS3","1","15860457","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15860457","9606;10090","0","0","0","0","0","0","0","0","0","0","981"
"NFE2L2","4780","83619","18024","Q16236","O54968","Q60795","nuclear factor (erythroid-derived 2)-like 2","NRF2","1","15728556","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15728556","10090","0","0","0","0","0","0","0","0","0","0","981"
"NKX3-2","579","0","12020","P78367","0","P97503","NK3 homeobox 2","BAPX1|NKX3.2|NKX3B|SMMD","1","15703179","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15703179","10090","0","0","0","0","0","0","0","0","0","0","981"
"HNF4A","3172","25735","15378","B9VVT8;F1D8S2;F1D8T0;F1D8T1;P41235","A2ICG7;B9VVT2;B9VVT3;G3V750;P22449","P49698","hepatocyte nuclear factor 4; alpha","HNF4|HNF4A7|HNF4A8|HNF4A9|HNF4ALPHA|MODY|MODY1|NR2A1|NR2A21|TCF|TCF14","1","15581617","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15581617","10090","0","0","0","0","0","0","0","0","0","0","981"
"SOX10","6663","29361","20665","P56693","O55170","Q04888","SRY (sex determining region Y)-box 10","DOM|PCWH|WS2E|WS4|WS4C","1","15523643","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15523643","10090","0","0","0","0","0","0","0","0","0","0","981"
"ARID3A","1820","314616","13496","Q99856","B5DEX9","Q62431","AT rich interactive domain 3A (BRIGHT-like)","BRIGHT|DRIL1|DRIL3|E2FBP1","1","15456761","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15456761","10090","0","0","0","0","0","0","0","0","0","0","981"
"SP1","6667","24790","20683","P08047","Q01714","G3X8Q0;O89090","Sp1 transcription factor","0","1","15282343","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15282343","10090","0","0","0","0","0","0","0","0","0","0","981"
"USF2","7392","81817","22282","Q15853","Q63665","Q64705","upstream transcription factor 2; c-fos interacting","FIP|BHLHB12","1","15242350","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15242350","9606","0","0","0","0","0","0","0","0","0","0","981"
"REST","5978","83618","19712","Q13127","O54963","Q8VIG1","RE1-silencing transcription factor","NRSF|XBR","1","15240883","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15240883","9606;10116","0","0","0","0","0","0","0","0","0","0","981"
"SOX17","64321","312936","20671","Q9H6I2","G3V923","Q61473","SRY (sex determining region Y)-box 17","VUR3","1","15220343","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15220343","10090","0","0","0","0","0","0","0","0","0","0","981"
"CTCF","10664","83726","13018","P49711","Q9R1D1","Q61164","CCCTC-binding factor (zinc finger protein)","0","1","15143173","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15143173","10090","0","0","0","0","0","0","0","0","0","0","981"
"ATOH1","474","500156","11921","Q92858","D3ZQL9","P48985","atonal homolog 1 (Drosophila)","ATH1|HATH1|MATH-1|BHLHA14","1","14757642","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","14757642","10090","0","0","0","0","0","0","0","0","0","0","981"
"HINFP","25988","300665","102423","Q9BQA5","0","Q8K1K9","histone H4 transcription factor","HINF-P|MIZF|ZNF743","1","14752047","Experimental","1","1","1","1","0","1","1","1","TFclass","TFclass_mouse","1","14752047","9606","0","0","0","0","0","0","0","0","0","0","981"
"PDX1","3651","29535","18609","P52945","P52947","P52946","pancreatic and duodenal homeobox 1","GSF|IDX-1|IPF1|IUF1|MODY4|PDX-1|STF-1","1","14704343","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","14704343","9606;10090;10116","0","0","0","0","0","0","0","0","0","0","981"
"TCF3","6929","171046","21423","P15923","F1LRL7;P21677;Q68G29","E9PVV1;E9PVV2;E9PWE2;E9PWE4;P15806","transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)","E2A|E47|ITF1|TCF-3|VDIR|BHLHB21","1","14627819","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","14627819","9606","0","0","0","0","0","0","0","0","0","0","981"
"FOXD1","2297","171299","15229","Q16676","D3ZP43","Q61345","forkhead box D1","FKHL8|FREAC4","1","13678594","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","13678594","10090","0","0","0","0","0","0","0","0","0","0","981"
"STAT1","6772","25124","20846","P42224","F1M9D6;Q6P6Q7;Q9QXK0","Q8C3V4;Q8C497;Q8C8M3;Q8CFQ1;Q99K94","signal transducer and activator of transcription 1; 91kDa","CANDF7|ISGF-3|STAT91","1","12859963","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","12859963","10090","0","0","0","0","0","0","0","0","0","0","981"
"PAX6","5080","25509","18508","F1T0F8;P26367;Q66SS1","P63016","P63015;Q8VBX9","paired box 6","AN|AN2|D11S812E|MGDA|WAGR","1","12756174","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","12756174","10090","0","0","0","0","0","0","0","0","0","0","981"
"EGR2","1959","114090","13654","P11161","P51774","P08152;Q3U207","early growth response 2","AT591|CMT1D|CMT4E|KROX20","1","12687019","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","12687019","9606","0","0","0","0","0","0","0","0","0","0","981"
"POU5F1","5460","294562","18999","D2IYK3;F2Z381;M1S623;Q01860","Q6MG27","P20263","POU class 5 homeobox 1","OCT3|OCT4|OTF-3|OTF3|OTF4|OCT-3|OCT-4","1","12615074","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","12615074","generic","0","0","0","0","0","0","0","0","0","0","981"
"PBX1","5087","304947","18514","A8K5V0;H0YLB0;P40424;Q53YC7","B1WC30;D3ZJI6","D9J2V6;P41778;Q71VB4","pre-B-cell leukemia homeobox 1","0","1","12529389","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","12529389","9606","0","0","0","0","0","0","0","0","0","0","981"
