probes,entrez,symbol,logFC,adj.P.Val
1555748_x_at,974,CD79B,-1.48007263949281,0.00236924750338206
1555753_x_at,51581,ERVH-6,-2.43421806902011,0.000216047546102911
1555758_a_at,1033,CDKN3,3.70874169359623,3.18654795670978e-08
1555772_a_at,993,CDC25A,2.0161128143321,0.0108090733505571
1555797_a_at,10092,ARPC5,1.2004705581143,4.18057859345755e-06
1555807_a_at,4340,MOG,-1.72058386481515,1.40609106398983e-05
1555819_s_at,201191,SAMD14,-1.27008400016627,0.0312580664021705
1555824_a_at,23241,PACS2,1.00740959492932,0.00596878450810453
1555826_at,332,BIRC5 /// EPR-1,1.67455216172115,2.76525784795873e-06
1555842_at,9266,CYTH2,2.32967398220264,2.83326973537501e-05
1555913_at,54856,GON4L,1.14732132922595,1.04356024424752e-06
1555914_a_at,54932,EXD3,-2.11747930231828,0.000151288132614926
1555922_at,399726,CASC10,-1.0894964459862,0.0231452357778091
1555942_a_at,406988,MIR205,-1.58726825954593,0.00176108167251917
1555962_at,93010,B3GNT7,-1.51438905821932,0.0256313753492406
